,chembl_id,standard_type,standard_value,standard_unit,target_chembl_id
14911,CHEMBL572878,Ki,125.89,nM,CHEMBL258
14912,CHEMBL572878,Ki,158.49,nM,CHEMBL267
14913,CHEMBL572878,Ki,10000.0,nM,CHEMBL5683
14914,CHEMBL572878,Ki,4.6,nM,CHEMBL3935
14915,CHEMBL572878,Ki,18.0,nM,CHEMBL2185
14916,CHEMBL572,Ki,816.0,nM,CHEMBL1795168
14917,CHEMBL573,Ki,104.0,nM,CHEMBL3785
14918,CHEMBL573,Ki,50.0,nM,CHEMBL3785
14919,CHEMBL573,Ki,82.0,nM,CHEMBL3785
14920,CHEMBL574,Ki,320.0,nM,CHEMBL205
14921,CHEMBL574,Ki,7900.0,nM,CHEMBL2885
14922,CHEMBL574,Ki,320.0,nM,CHEMBL205
14923,CHEMBL574,Ki,320.0,nM,CHEMBL205
14924,CHEMBL574,Ki,320.0,nM,CHEMBL205
14925,CHEMBL574,Ki,320.0,nM,CHEMBL205
14926,CHEMBL574,Ki,78500.0,nM,CHEMBL261
14927,CHEMBL574,Ki,78500.0,nM,CHEMBL261
14928,CHEMBL574,Ki,320.0,nM,CHEMBL205
14929,CHEMBL574,Ki,320.0,nM,CHEMBL205
14930,CHEMBL574,Ki,78500.0,nM,CHEMBL261
14931,CHEMBL574,Ki,78500.0,nM,CHEMBL261
14932,CHEMBL574,Ki,320.0,nM,CHEMBL205
14933,CHEMBL574,Ki,320.0,nM,CHEMBL205
14934,CHEMBL574,Ki,320.0,nM,CHEMBL205
14935,CHEMBL574,Ki,78500.0,nM,CHEMBL261
14936,CHEMBL574,Ki,78500.0,nM,CHEMBL261
14937,CHEMBL574,Ki,320.0,nM,CHEMBL205
14938,CHEMBL574,Ki,78500.0,nM,CHEMBL261
14939,CHEMBL574,Ki,78500.0,nM,CHEMBL261
14940,CHEMBL574,Ki,1582.0,nM,CHEMBL3025
14941,CHEMBL574,Ki,320.0,nM,CHEMBL205
14942,CHEMBL574,Ki,78500.0,nM,CHEMBL261
14943,CHEMBL574,Ki,78500.0,nM,CHEMBL261
14944,CHEMBL574,Ki,118470.0,nM,CHEMBL261
14945,CHEMBL574,Ki,320.0,nM,CHEMBL205
14946,CHEMBL574,Ki,320.0,nM,CHEMBL205
14947,CHEMBL574,Ki,1582.0,nM,CHEMBL3025
14948,CHEMBL574,Ki,78500.0,nM,CHEMBL261
14949,CHEMBL574,Ki,320.0,nM,CHEMBL205
14950,CHEMBL574,Ki,320.0,nM,CHEMBL205
14951,CHEMBL574,Ki,88.0,nM,CHEMBL2326
14952,CHEMBL574,Ki,320.0,nM,CHEMBL205
14953,CHEMBL574,Ki,320.0,nM,CHEMBL205
14954,CHEMBL574,Ki,78500.0,nM,CHEMBL261
14955,CHEMBL574,Ki,78500.0,nM,CHEMBL261
14956,CHEMBL574,Ki,320.0,nM,CHEMBL205
14957,CHEMBL574,Ki,320.0,nM,CHEMBL205
14958,CHEMBL574,Ki,320.0,nM,CHEMBL205
14959,CHEMBL574,Ki,2430.0,nM,CHEMBL3969
14960,CHEMBL574,Ki,78500.0,nM,CHEMBL261
14961,CHEMBL574,Ki,320.0,nM,CHEMBL205
14962,CHEMBL574,Ki,78500.0,nM,CHEMBL261
14963,CHEMBL574,Ki,78500.0,nM,CHEMBL261
14964,CHEMBL574,Ki,320.0,nM,CHEMBL205
14965,CHEMBL574,Ki,78500.0,nM,CHEMBL261
14966,CHEMBL574,Ki,1582.0,nM,CHEMBL3025
14967,CHEMBL574,Ki,78500.0,nM,CHEMBL261
14968,CHEMBL574,Ki,320.0,nM,CHEMBL205
14969,CHEMBL574,Ki,320.0,nM,CHEMBL205
14970,CHEMBL574,Ki,1.8,nM,CHEMBL3242
14971,CHEMBL574,Ki,78500.0,nM,CHEMBL261
14972,CHEMBL574,Ki,4700.0,nM,CHEMBL4789
14973,CHEMBL574,Ki,320.0,nM,CHEMBL205
14974,CHEMBL574,Ki,78500.0,nM,CHEMBL261
14975,CHEMBL574,Ki,8138.0,nM,CHEMBL205
14976,CHEMBL574,Ki,320.0,nM,CHEMBL205
14977,CHEMBL574,Ki,320.0,nM,CHEMBL205
14978,CHEMBL574,Ki,320.0,nM,CHEMBL205
14979,CHEMBL574,Ki,320.0,nM,CHEMBL205
14980,CHEMBL574,Ki,460.0,nM,CHEMBL3594
14981,CHEMBL574,Ki,78500.0,nM,CHEMBL261
14982,CHEMBL574,Ki,320.0,nM,CHEMBL205
14983,CHEMBL574,Ki,460.0,nM,CHEMBL3594
14984,CHEMBL574,Ki,78500.0,nM,CHEMBL261
14985,CHEMBL574,Ki,78500.0,nM,CHEMBL261
14986,CHEMBL574,Ki,78500.0,nM,CHEMBL261
14987,CHEMBL574,Ki,320.0,nM,CHEMBL205
14988,CHEMBL574,Ki,78500.0,nM,CHEMBL261
14989,CHEMBL574,Ki,320.0,nM,CHEMBL205
14990,CHEMBL574,Ki,78500.0,nM,CHEMBL261
14991,CHEMBL574,Ki,78500.0,nM,CHEMBL261
14992,CHEMBL574,Ki,320.0,nM,CHEMBL205
14993,CHEMBL574,Ki,78500.0,nM,CHEMBL261
14994,CHEMBL574,Ki,320.0,nM,CHEMBL205
14995,CHEMBL575060,Ki,789.0,nM,CHEMBL3684
14996,CHEMBL575060,Ki,1600.0,nM,CHEMBL2736
14997,CHEMBL575060,Ki,868.0,nM,CHEMBL3190
14998,CHEMBL575060,Ki,701.0,nM,CHEMBL2675
14999,CHEMBL575060,Ki,940.0,nM,CHEMBL4016
15000,CHEMBL575060,Ki,12000.0,nM,CHEMBL5137
15001,CHEMBL575060,Ki,17000.0,nM,CHEMBL2736
15002,CHEMBL575060,Ki,11400.0,nM,CHEMBL3227
15003,CHEMBL575060,Ki,2400.0,nM,CHEMBL2736
15004,CHEMBL575060,Ki,31622.78,nM,CHEMBL3085
15005,CHEMBL575060,Ki,11000.0,nM,CHEMBL5137
15006,CHEMBL575060,Ki,4677.35,nM,CHEMBL3227
15007,CHEMBL575060,Ki,1160.0,nM,CHEMBL3227
15008,CHEMBL575060,Ki,701.0,nM,CHEMBL1918
15009,CHEMBL575060,Ki,390.0,nM,CHEMBL3227
15010,CHEMBL575060,Ki,38000.0,nM,CHEMBL4573
15011,CHEMBL575060,Ki,1584.89,nM,CHEMBL3772
15012,CHEMBL575060,Ki,1174897.55,nM,CHEMBL3777
